air_monitor,site_catid,pollutant,n_total
Experimental Lakes,00-006-4001,OZONE,2472
Winnipeg Ellens,00-007-0119,OZONE,2545
Winnipeg Ellens,00-007-0119,PM25,2411
Brandon,00-007-0203,OZONE,2406
Brandon,00-007-0203,PM25,2254
Water Tower (PM2.5),19-013-0009,PM25,2179
Waverly Airport (O3),19-017-0011,OZONE,1498
"Emmetsburg, Iowa",19-147-1002,OZONE,1485
"Emmetsburg, Iowa",19-147-1002,PM25,2042
Carpenter,19-153-0030,OZONE,1498
Carpenter,19-153-0030,PM25,2191
Cedar Creek,27-003-1001,OZONE,1446
Anoka Airport,27-003-1002,OZONE,2555
Anoka Airport,27-003-1002,PM25,2500
Detroit Lakes,27-005-2013,OZONE,1379
Detroit Lakes,27-005-2013,PM25,2439
Red Lake Nation,27-007-2304,PM25,811
Fond Du Lac,27-017-7417,OZONE,1648
Fond Du Lac,27-017-7417,PM25,556
Grand Portage,27-031-7810,PM25,2200
Brainerd,27-035-3204,OZONE,1497
Brainerd,27-035-3204,PM25,2453
Apple Valley,27-037-0470,PM25,2516
Near Rd Lakeville,27-037-0480,PM25,720
Stanton,27-049-5302,OZONE,1466
Near Rd MSP,27-053-0962,OZONE,1167
Near Rd MSP,27-053-0962,PM25,1169
HC Anderson Sch,27-053-0963,PM25,2229
Fernberg Rd,27-075-0005,OZONE,1646
Fernberg Rd,27-075-0005,PM25,2415
Marshall,27-083-4210,OZONE,1424
Marshall,27-083-4210,PM25,2509
Mille Lacs,27-095-3051,OZONE,1501
Ben Franklin Sch.,27-109-5008,OZONE,1486
Ben Franklin Sch.,27-109-5008,PM25,2498
Harding High School,27-123-0871,PM25,2516
Virginia,27-137-7001,PM25,1432
WDSE,27-137-7550,OZONE,1682
Laura McArthur Sch,27-137-7554,PM25,1769
Voyageurs,27-137-9000,OZONE,2494
Shakopee,27-139-0505,OZONE,1825
Talahi Sch,27-145-3052,OZONE,1481
Talahi Sch,27-145-3052,PM25,2470
Marine on St Croix,27-163-6016,OZONE,998
St Michael,27-171-3201,OZONE,1379
St Michael,27-171-3201,PM25,2504
Bismarck residential,38-015-0003,OZONE,2486
Bismarck residential,38-015-0003,PM25,1898
Fargo,38-017-1004,OZONE,2499
Fargo,38-017-1004,PM25,2087
Research Farm,46-011-0003,OZONE,2527
Research Farm,46-011-0003,PM25,690
Pierre,46-065-0003,PM25,703
Sioux Falls,46-099-0008,OZONE,2541
Sioux Falls,46-099-0008,PM25,2140
Union County,46-127-0001,OZONE,1431
Union County,46-127-0001,PM25,2138
Bad River Tribal School,55-003-0010,OZONE,2494
Eau Clair DOT sign shop,55-035-0014,OZONE,1300
Eau Clair DOT sign shop,55-035-0014,PM25,1308
Potosi (PM2.5),55-043-0009,PM25,1495
LaCrosse,55-063-0012,OZONE,1524
LaCrosse,55-063-0012,PM25,1538
Devils Lake Park,55-111-0007,OZONE,1492
Devils Lake Park,55-111-0007,PM25,1491
Perkinstown,55-119-9991,OZONE,2037
Trout Lake,55-125-0001,OZONE,1381
