forecast_date,forecast_day,site_catid,short_name,group,mod_max_avg8hr_ens,mod_max_avg8hr_rf,mod_max_avg8hr_gb,mod_max_avg8hr_gen1,mod_max_avg8hr_lr,mod_max_avg8hr_ab,mod_max_avg8hr_super_ens,mod_aqi_o3_ens,mod_aqi_o3_rf,mod_aqi_o3_gb,mod_aqi_o3_gen1,mod_aqi_o3_lr,mod_aqi_o3_ab,mod_aqi_o3_superens,mod_pm25avg_ens,mod_pm25avg_rf,mod_pm25avg_gb,mod_pm25avg_gen1,mod_pm25avg_lr,mod_pm25avg_ab,mod_pm25avg_superens,mod_aqi_pm_ens,mod_aqi_pm_rf,mod_aqi_pm_gb,mod_aqi_pm_gen1,mod_aqi_pm_lr,mod_aqi_pm_ab,mod_aqi_pm_superens,cmaq_prod_o3,cmaq_prod_pm,cmaq_bc_o3,cmaq_bc_pm,cmaq_prod_o3_aqi,cmaq_prod_pm_aqi,cmaq_bc_o3_aqi,cmaq_bc_pm_aqi,hrrr_smoke_pm,hrrr_smoke_pm_aqi,fcst_ozone_aqi,fcst_ozone_ppb,fcst_pm25_aqi,fcst_pm25_ugm3,region,month,lat,lon,weekday,temp_f_sunup_max,winddir_sunup_mode,winddir_mode,winddir_prevday_mode,mixingheight_magl,mixing_height_avg_sound_1and2,pw_mm_avg,rh_sunup_avg,rh_avg,background_10m_500m_avg_24hr_ozone_noon_ppb,background_24hr_pm25_17z,low_or_med_clouds,temp_24hr_change_f_max,departure_from_avg_temp,visibility_miles_avg,windspd_mph_avg,air_temp,mixdepth_10m,sp_humidity_10m,h2o_mixrate_10m,terr_msl_10m,receptor_height_10m,forecast_day_10m,background_origin_10m,mixdepth_500m,sp_humidity_500m,h2o_mixrate_500m,terr_msl_500m,receptor_height_500m,forecast_day_500m,background_origin_500m,roll_ozone_aqi,roll_pm25_aqi,roll11_ozone_aqi,roll11_pm25_aqi,persist_ozone_aqi,persist_pm25_aqi,bb3_ozone_aqi,bb3_pm25_aqi,cmaq_o3,cmaq_pm,cmaq_o3_aqi,cmaq_pm_aqi,mod_max_avg8hr,mod_aqi_o3,mod_pm25avg,mod_aqi_pm,cmaq_ozone_ppb,cmaq_ozone_aqi,count_ozone_obs,count_pm25_obs,obs_ozone_ppb,obs_pm25_ugm3,obs_ozone_aqi,obs_pm25_aqi
2022-03-14,0,27-003-1001,Cedar_Creek,North Twin Cities Metro,43.195,43.61,44.77,43.175,47.814,36.607,44.521,40,40,41,40,44,33,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,25,6,North_Metro,3,45.5628,-93.2644,0,39.94,Calm,Calm,W,578.05,346.165,11.88,0.60437,0.65,36.96,8.63,0.55,0.0700000000000002,4.64,8.226,4.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,48.8,NA,44,NA
2022-03-14,0,27-003-1002,Anoka,North Twin Cities Metro,43.057,42.924,44.124,42.599,45.523,40.114,43.698,40,39,41,39,42,37,40,6.577,7.652,5.863,6.735,4.385,8.248,7.152,27,32,24,28,18,34,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,25,6,North_Metro,3,45.142563,-93.212739,0,39.74,N,N,W,578.05,346.165,11.88,0.76448,0.8,37.5,4.7,0.7,-2.61,1.44,8.464,6.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,47,46.5,6.8,43,28
2022-03-14,0,27-005-2013,Detroit_Lakes,Detroit Lakes,43.22,42.622,47.563,41.791,44.172,39.953,44.873,40,39,44,38,41,36,41,4.642,5.581,4.154,5.688,1.695,6.09,5.223,19,23,17,23,7,25,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,14,3.4,NW,3,46.8285,-95.8857,0,32.08,Calm,Calm,NW,632.71,430.565,10.29,0.6109,0.63,36.11,6.299,0.78,1.4,0.0799999999999983,10,4.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,49.8,3.5,45,15
2022-03-14,0,27-007-2304,Red_Lake,Red Lake,48.48,47.722,50.17,48.295,49.598,46.615,50.072,44,44,46,44,45,43,46,4.885,5.581,5.211,5.772,0.752,7.109,4.747,20,23,22,24,3,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,35,8.4,NW,3,47.5076,-94.9277,0,35.97,Calm,Calm,NW,685.88,342.94,5.395,0.58295,0.63,36.11,5.81,0.35,8.47,0.369999999999997,10,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,7,NA,29
2022-03-14,0,27-017-7417,Fond_Du_Lac,Fond du Lac,43.785,42.561,42.997,43.242,51.418,38.709,42.397,40,39,39,40,47,35,39,5.335,5.052,2.344,4.995,6.888,7.397,5.599,22,21,10,20,28,30,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,10,2.4,Fond_du_Lac_r,3,46.698575,-92.50345,0,35.38,Calm,Calm,W,685.88,342.94,5.395,0.521328,0.57,36,7.37,0.58,0.550000000000004,1.58000000000001,10,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,44.2,0.8,41,3
2022-03-14,0,27-021-3410,Leech_Lake,Leech Lake,48.21,47.917,48.625,48.295,49.598,46.615,49.871,44,44,44,44,45,43,45,4.668,4.939,5.006,5.241,2.256,5.896,4.5,19,20,21,22,9,24,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,30,7.2,NW,3,47.5076,-94.9277,0,35.97,Calm,Calm,NW,685.88,342.94,5.395,0.58295,0.63,36.11,5.81,0.35,8.47,0.369999999999997,10,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,6.7,NA,28
2022-03-14,0,27-031-7810,Grand_Portage,Grand Portage,45.817,42.874,45.182,44.175,52.802,44.054,43.159,42,39,42,41,48,41,40,2.551,3.501,2.93,3.45,-1.254,4.127,3.488,10,15,12,14,0,17,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,15,3.6,NE,3,47.7472,-90.3433,0,30.55,Calm,Calm,W,685.88,342.94,5.395,0.619988,0.66,34.92,5.58,0.68,3.61,-2.98,10,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,2.4,NA,10
2022-03-14,0,27-035-3204,Brainerd,Brainerd,45.43,42.006,42.612,43.529,53.554,45.448,43.963,42,39,39,40,49,42,40,4.85,4.501,4.377,4.657,4.635,6.077,4.167,20,19,18,19,19,25,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,21,5,Central,3,46.402062,-94.12736,0,38.53,Calm,Calm,W,578.05,346.165,11.88,0.525498,0.56,37.32,6.096,0.71,2.22,3.02,9.995,3.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,47.4,4.8,44,20
2022-03-14,0,27-037-0470,Apple_Valley,South Twin Cities Metro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.195,10.425,9.711,7.674,9.094,9.071,10.323,38,43,40,32,38,38,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,28,6.7,South_Metro,3,44.8249,-93.457,0,40.57,NE,NE,W,578.05,346.165,11.88,0.73482,0.76,42.5,6.73,0.8,-2.38,3.53,9.013,6.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,4.9,NA,20
2022-03-14,0,27-037-0480,Lakeville,South Twin Cities Metro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.799,8.279,8.521,7.766,10.127,9.301,8.648,36,34,35,32,42,39,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,green,NA,28,6.7,South_Metro,3,44.6252,-93.2273,0,41.77,NE,NE,W,578.05,346.165,11.88,0.793332,0.82,42.5,6.73,0.78,-1.66999999999999,6.47000000000001,9.518,6.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,5.6,NA,23
