Air Monitor,site_catid,alt_siteid,monitor_lat,monitor_long,Receptor,Sfc Weather,Upper Air,Fcst_Region,short_name,elevation
Anoka Airport,27-003-1002,NA,45.13768,-93.207615,TC_North,ANE,KMPX,North Twin Cities Metro,Anoka,NA
Apple Valley,27-037-0470,NA,44.73846,-93.23725,TC_South,FCM,KMPX,South Twin Cities Metro,Apple_Valley,NA
Ben Franklin Sch.,27-109-5008,NA,43.996908,-92.450366,Rochester,RST,KMPX,Rochester,Rochester,NA
Blue Mounds Sp,27-133-9000,NA,43.71579,-96.191613,Marshall,OTG,KMPX,Marshall,Marshall2,NA
Brainerd,27-035-3204,NA,46.39674,-94.1303,Brainerd,BRD,KMPX,Brainerd,Brainerd,NA
Cedar Creek,27-003-1001,NA,45.40184,-93.20306,TC_North,CBG,KMPX,North Twin Cities Metro,Cedar_Creek,NA
Detroit Lakes,27-005-2013,NA,46.851811,-95.846272,Detroit Lakes,DTL,KABR,Detroit Lakes,Detroit_Lakes,NA
Fargo,38-017-1004,NA,46.9336,-96.854698,Fargo,FAR,KABR,Moorhead,Fargo,NA
Fernberg Rd,27-075-0005,NA,47.948622,-91.495574,Ely,ELO,KINL,Ely,Ely,NA
Fond Du Lac,27-017-7417,NA,46.713694,-92.511722,Duluth,COQ,KINL,Fond du Lac,Fond_Du_Lac,NA
Fond Du Lac,27-017-7416,NA,46.70527,-92.52377,Duluth,COQ,KINL,Fond du Lac,Fond_Du_Lac2,NA
Grand Portage,27-031-7810,NA,47.972085,-89.69098,Grand Portage,GNA,KINL,Grand Portage,Grand_Portage,NA
Great Riv Bluffs,27-169-9000,NA,43.937299,-91.405348,Great River Bluffs,LSE,KMPX,Winona,Winona_pm,NA
Harding High School,27-123-0871,NA,44.95939,-93.03587,TC_Center,STP,KMPX,Minneapolis-St. Paul,Harding,NA
HC Anderson Sch,27-053-0963,NA,44.95366,-93.25821,TC_Center,MSP,KMPX,Minneapolis-St. Paul,HC_Anderson,NA
LaCrosse,55-063-0012,NA,43.7781,-91.225,LaCrosse,LSE,KMPX,Winona,Winona,NA
Laura McArthur Sch,27-137-7554,NA,46.743657,-92.165998,Duluth,SUW,KINL,Duluth,West_Duluth,NA
Leech Lake Nation: Cass Lake,27-021-3410,NA,47.385,-94.602,Leech_Lake,BJI,KINL,Leech Lake,Leech_Lake,NA
Marine on St Croix,27-163-6016,NA,45.168004,-92.765136,TC_East,RGK,KMPX,North Twin Cities Metro,Marine_St_Croix,NA
Marshall,27-083-4210,NA,44.4438,-95.81789,Marshall,MML,KMPX,Marshall,Marshall,NA
Mille Lacs,27-095-3051,NA,46.2053,-93.75945,Mille Lacs,AIT,KMPX,Mille Lacs,Mille_Lacs,NA
Near Rd Lakeville,27-037-0480,NA,44.706123,-93.285803,TC_South,LVN,KMPX,South Twin Cities Metro,Lakeville,NA
Near Rd MSP,27-053-0962,NA,44.965242,-93.254759,TC_Center,MSP,KMPX,Minneapolis-St. Paul,MSP,NA
Ramsey Health Center,27-123-0868,NA,44.95072,-93.09827,TC_Center,STP,KMPX,Minneapolis-St. Paul,Ramsey_Health,NA
Red Lake Nation,27-007-2304,NA,47.878159,-95.029172,Red_Lake,BJI,KINL,Red Lake,Red_Lake,NA
Shakopee,27-139-0505,NA,44.791437,-93.512534,TC_South,FCM,KMPX,South Twin Cities Metro,Shakopee,NA
St Louis Park,27-053-2006,NA,44.94805,-93.34315,TC_Center,MIC,KMPX,Minneapolis-St. Paul,St_Louis_Park,NA
St Michael,27-171-3201,NA,45.20916,-93.66921,TC_West,STC,KMPX,North Twin Cities Metro,St_Michael,NA
Stanton,27-049-5302,NA,44.473754,-93.012611,TC_South,LVN,KMPX,South Twin Cities Metro,Stanton,NA
Talahi Sch,27-145-3052,NA,45.549839,-94.13345,St. Cloud,STC,KMPX,St. Cloud,St_Cloud,NA
Virginia,27-137-7001,NA,47.523355,-92.536305,Virginia,EVM,KINL,Virginia,Virginia,NA
Voyageurs,27-137-9000,27-137-0034,48.4128,-92.8292,Voyageurs,ORB,KINL,Voyageurs National Park,Voyageurs,NA
WDSE,27-137-7550,NA,46.81826,-92.08936,Duluth,DLH,KINL,Duluth,Duluth_WDSE,NA
Bad River Tribal School,55-003-0010,NA,46.6144,-90.6986,Bad River Tribal School,NA,NA,WI,Bad River Tribal School,NA
Trout Lake,55-125-0001,NA,46.0481,-89.6536,Trout Lake,NA,NA,WI,Trout Lake,NA
